        Frequency / MHz                S1,2 (24)/abs,dB
----------------------------------------------------------------------
                    1900                      -23.586392
                 1900.23                      -23.601726
               1900.4601                      -23.617678
               1900.6901                      -23.634244
                 1900.92                      -23.651423
               1901.1499                      -23.669208
                 1901.38                      -23.687596
                 1901.61                      -23.706583
                 1901.84                      -23.726163
               1902.0701                      -23.746332
                  1902.3                      -23.767086
                 1902.53                      -23.788419
               1902.7599                      -23.810324
                 1902.99                        -23.8328
                 1903.22                      -23.855837
                 1903.45                      -23.879432
               1903.6801                      -23.903579
                 1903.91                      -23.928269
                 1904.14                      -23.953499
                 1904.37                      -23.979259
               1904.6001                      -24.005545
                 1904.83                      -24.032347
               1905.0599                       -24.05966
                 1905.29                      -24.087474
                 1905.52                      -24.115784
                 1905.75                      -24.144578
                 1905.98                       -24.17385
               1906.2101                      -24.203589
               1906.4399                      -24.233787
               1906.6699                      -24.264435
               1906.8999                       -24.29552
                 1907.13                      -24.327034
                 1907.36                      -24.358965
                 1907.59                      -24.391303
               1907.8201                      -24.424034
                 1908.05                      -24.457148
                 1908.28                      -24.490631
               1908.5099                       -24.52447
                 1908.74                      -24.558652
                 1908.97                      -24.593162
                  1909.2                      -24.627985
               1909.4301                      -24.663107
                 1909.66                      -24.698512
                 1909.89                      -24.734182
               1910.1199                      -24.770102
                 1910.35                      -24.806253
                 1910.58                      -24.842617
               1910.8099                      -24.879175
                 1911.04                      -24.915907
                 1911.27                      -24.952794
                  1911.5                      -24.989815
               1911.7301                      -25.026946
               1911.9601                      -25.064165
               1912.1899                      -25.101452
               1912.4199                      -25.138779
                 1912.65                      -25.176123
                 1912.88                      -25.213459
                 1913.11                      -25.250759
               1913.3401                      -25.287997
               1913.5701                      -25.325145
               1913.7999                      -25.362174
               1914.0299                      -25.399054
                 1914.26                      -25.435755
                 1914.49                      -25.472246
                 1914.72                      -25.508494
                 1914.95                      -25.544467
               1915.1801                      -25.580132
                 1915.41                      -25.615454
                 1915.64                      -25.650397
                 1915.87                      -25.684927
                  1916.1                      -25.719006
                 1916.33                      -25.752596
               1916.5599                      -25.785662
                 1916.79                      -25.818164
                 1917.02                      -25.850062
                 1917.25                      -25.881318
                 1917.48                      -25.911891
                 1917.71                      -25.941742
               1917.9399                      -25.970829
               1918.1699                      -25.999112
                  1918.4                      -26.026549
                 1918.63                        -26.0531
                 1918.86                      -26.078724
               1919.0901                      -26.103377
               1919.3201                      -26.127021
               1919.5499                      -26.149613
               1919.7799                      -26.171116
                 1920.01                      -26.191487
                 1920.24                      -26.210686
                 1920.47                      -26.228677
               1920.7001                      -26.245421
               1920.9301                       -26.26088
               1921.1599                      -26.275019
               1921.3899                      -26.287803
                 1921.62                      -26.299199
                 1921.85                      -26.309173
                 1922.08                      -26.317694
               1922.3101                      -26.324735
                 1922.54                      -26.330266
                 1922.77                      -26.334264
                    1923                      -26.336701
                 1923.23                      -26.337557
                 1923.46                      -26.336814
               1923.6899                      -26.334451
                 1923.92                      -26.330455
                 1924.15                      -26.324809
                 1924.38                      -26.317506
                 1924.61                      -26.308534
                 1924.84                      -26.297888
               1925.0699                      -26.285565
               1925.2999                      -26.271561
                 1925.53                      -26.255878
                 1925.76                      -26.238519
                 1925.99                      -26.219489
                 1926.22                      -26.198798
               1926.4501                      -26.176455
               1926.6801                      -26.152471
               1926.9099                      -26.126863
                 1927.14                      -26.099647
                 1927.37                      -26.070842
                  1927.6                      -26.040468
                 1927.83                      -26.008551
               1928.0601                      -25.975112
                 1928.29                      -25.940179
               1928.5199                       -25.90378
                 1928.75                      -25.865944
                 1928.98                      -25.826703
                 1929.21                      -25.786088
               1929.4399                      -25.744134
                 1929.67                      -25.700873
                  1929.9                      -25.656342
                 1930.13                      -25.610577
               1930.3601                      -25.563615
                 1930.59                      -25.515493
               1930.8199                       -25.46625
               1931.0499                      -25.415924
                 1931.28                      -25.364553
                 1931.51                      -25.312176
                 1931.74                      -25.258833
               1931.9701                      -25.204562
                  1932.2                      -25.149402
               1932.4299                      -25.093393
               1932.6599                      -25.036572
                 1932.89                      -24.978979
                 1933.12                       -24.92065
                 1933.35                      -24.861624
               1933.5801                      -24.801936
               1933.8101                      -24.741624
                 1934.04                      -24.680724
               1934.2699                       -24.61927
                  1934.5                      -24.557298
                 1934.73                       -24.49484
                 1934.96                      -24.431931
               1935.1901                      -24.368603
                 1935.42                      -24.304887
                 1935.65                      -24.240813
               1935.8799                      -24.176413
                 1936.11                      -24.111715
                 1936.34                      -24.046747
               1936.5699                      -23.981538
                  1936.8                      -23.916114
                 1937.03                      -23.850501
                 1937.26                      -23.784724
                 1937.49                      -23.718807
               1937.7201                      -23.652774
                 1937.95                      -23.586647
               1938.1799                      -23.520448
                 1938.41                      -23.454199
                 1938.64                       -23.38792
                 1938.87                       -23.32163
                  1939.1                      -23.255348
               1939.3301                      -23.189091
               1939.5599                       -23.12288
               1939.7899                      -23.056727
                 1940.02                      -22.990651
                 1940.25                      -22.924667
                 1940.48                      -22.858788
                 1940.71                       -22.79303
               1940.9401                      -22.727406
                 1941.17                      -22.661928
                  1941.4                       -22.59661
                 1941.63                      -22.531462
                 1941.86                      -22.466495
                 1942.09                       -22.40172
               1942.3199                      -22.337149
                 1942.55                       -22.27279
                 1942.78                      -22.208651
                 1943.01                      -22.144743
                 1943.24                      -22.081073
                 1943.47                      -22.017648
                  1943.7                      -21.954478
               1943.9299                      -21.891569
                 1944.16                      -21.828926
                 1944.39                      -21.766557
                 1944.62                      -21.704468
               1944.8501                      -21.642663
               1945.0801                      -21.581149
               1945.3099                       -21.51993
               1945.5399                      -21.459011
                 1945.77                      -21.398396
                    1946                      -21.338089
                 1946.23                      -21.278095
               1946.4601                      -21.218417
               1946.6901                      -21.159057
               1946.9199                      -21.100019
               1947.1499                      -21.041307
                 1947.38                      -20.982922
                 1947.61                      -20.924868
                 1947.84                      -20.867145
               1948.0701                      -20.809758
                  1948.3                      -20.752705
                 1948.53                      -20.695992
                 1948.76                      -20.639618
                 1948.99                      -20.583584
                 1949.22                      -20.527893
                 1949.45                      -20.472545
               1949.6801                       -20.41754
                 1949.91                      -20.362881
                 1950.14                      -20.308567
                 1950.37                        -20.2546
                  1950.6                      -20.200979
                 1950.83                      -20.147706
               1951.0599                      -20.094781
                 1951.29                      -20.042201
                 1951.52                       -19.98997
                 1951.75                      -19.938086
                 1951.98                      -19.886549
               1952.2101                       -19.83536
               1952.4401                      -19.784518
               1952.6699                      -19.734023
               1952.8999                      -19.683873
                 1953.13                       -19.63407
                 1953.36                      -19.584612
