        Frequency / MHz                S2,1 (2)/abs,dB
----------------------------------------------------------------------
                    1900                      -21.403723
                 1900.23                       -21.29699
               1900.4601                      -21.192086
               1900.6901                      -21.088965
                 1900.92                      -20.987583
               1901.1499                      -20.887894
                 1901.38                      -20.789859
                 1901.61                      -20.693436
                 1901.84                      -20.598588
               1902.0701                      -20.505277
                  1902.3                      -20.413466
                 1902.53                      -20.323124
               1902.7599                      -20.234214
                 1902.99                      -20.146706
                 1903.22                      -20.060567
                 1903.45                      -19.975768
               1903.6801                       -19.89228
                 1903.91                      -19.810076
                 1904.14                      -19.729126
                 1904.37                      -19.649406
               1904.6001                       -19.57089
                 1904.83                      -19.493553
               1905.0599                      -19.417372
                 1905.29                      -19.342324
                 1905.52                      -19.268385
                 1905.75                      -19.195535
                 1905.98                      -19.123752
               1906.2101                      -19.053017
               1906.4399                      -18.983309
               1906.6699                      -18.914608
               1906.8999                      -18.846897
                 1907.13                      -18.780157
                 1907.36                      -18.714372
                 1907.59                      -18.649523
               1907.8201                      -18.585594
                 1908.05                      -18.522569
                 1908.28                      -18.460433
               1908.5099                      -18.399169
                 1908.74                      -18.338765
                 1908.97                      -18.279203
                  1909.2                      -18.220473
               1909.4301                      -18.162558
                 1909.66                      -18.105446
                 1909.89                      -18.049124
               1910.1199                       -17.99358
                 1910.35                      -17.938801
                 1910.58                      -17.884775
               1910.8099                       -17.83149
                 1911.04                      -17.778935
                 1911.27                        -17.7271
                  1911.5                      -17.675973
               1911.7301                      -17.625543
               1911.9601                      -17.575801
               1912.1899                      -17.526737
               1912.4199                      -17.478339
                 1912.65                      -17.430601
                 1912.88                      -17.383509
                 1913.11                      -17.337058
               1913.3401                      -17.291238
               1913.5701                      -17.246039
               1913.7999                      -17.201453
               1914.0299                      -17.157472
                 1914.26                       -17.11409
                 1914.49                      -17.071295
                 1914.72                      -17.029082
                 1914.95                      -16.987442
               1915.1801                      -16.946369
                 1915.41                      -16.905854
                 1915.64                      -16.865891
                 1915.87                      -16.826474
                  1916.1                      -16.787594
                 1916.33                      -16.749245
               1916.5599                      -16.711421
                 1916.79                      -16.674116
                 1917.02                      -16.637323
                 1917.25                      -16.601036
                 1917.48                      -16.565249
                 1917.71                      -16.529957
               1917.9399                      -16.495152
               1918.1699                       -16.46083
                  1918.4                      -16.426986
                 1918.63                      -16.393614
                 1918.86                      -16.360708
               1919.0901                      -16.328263
               1919.3201                      -16.296276
               1919.5499                      -16.264738
               1919.7799                      -16.233647
                 1920.01                      -16.202997
                 1920.24                      -16.172785
                 1920.47                      -16.143005
               1920.7001                      -16.113651
               1920.9301                      -16.084721
               1921.1599                       -16.05621
               1921.3899                      -16.028114
                 1921.62                      -16.000427
                 1921.85                      -15.973146
                 1922.08                      -15.946267
               1922.3101                      -15.919786
                 1922.54                        -15.8937
                 1922.77                      -15.868005
                    1923                      -15.842694
                 1923.23                      -15.817767
                 1923.46                      -15.793218
               1923.6899                      -15.769046
                 1923.92                      -15.745245
                 1924.15                      -15.721812
                 1924.38                      -15.698745
                 1924.61                       -15.67604
                 1924.84                      -15.653693
               1925.0699                        -15.6317
               1925.2999                       -15.61006
                 1925.53                      -15.588769
                 1925.76                      -15.567825
                 1925.99                      -15.547221
                 1926.22                       -15.52696
               1926.4501                      -15.507033
               1926.6801                      -15.487442
               1926.9099                      -15.468181
                 1927.14                      -15.449249
                 1927.37                      -15.430643
                  1927.6                      -15.412359
                 1927.83                      -15.394396
               1928.0601                      -15.376751
                 1928.29                      -15.359421
               1928.5199                      -15.342403
                 1928.75                      -15.325696
                 1928.98                      -15.309296
                 1929.21                      -15.293202
               1929.4399                       -15.27741
                 1929.67                       -15.26192
                  1929.9                      -15.246727
                 1930.13                      -15.231831
               1930.3601                      -15.217228
                 1930.59                      -15.202917
               1930.8199                      -15.188896
               1931.0499                      -15.175162
                 1931.28                      -15.161713
                 1931.51                      -15.148547
                 1931.74                      -15.135663
               1931.9701                      -15.123057
                  1932.2                       -15.11073
               1932.4299                      -15.098676
               1932.6599                      -15.086897
                 1932.89                      -15.075389
                 1933.12                       -15.06415
                 1933.35                      -15.053179
               1933.5801                      -15.042474
               1933.8101                      -15.032033
                 1934.04                      -15.021855
               1934.2699                      -15.011938
                  1934.5                       -15.00228
                 1934.73                      -14.992879
                 1934.96                      -14.983733
               1935.1901                      -14.974842
                 1935.42                      -14.966203
                 1935.65                      -14.957815
               1935.8799                      -14.949677
                 1936.11                      -14.941785
                 1936.34                       -14.93414
               1936.5699                      -14.926741
                  1936.8                      -14.919584
                 1937.03                      -14.912669
                 1937.26                      -14.905995
                 1937.49                      -14.899559
               1937.7201                      -14.893361
                 1937.95                        -14.8874
               1938.1799                      -14.881673
                 1938.41                       -14.87618
                 1938.64                      -14.870919
                 1938.87                       -14.86589
                  1939.1                      -14.861089
               1939.3301                      -14.856516
               1939.5599                      -14.852172
               1939.7899                      -14.848053
                 1940.02                      -14.844159
                 1940.25                      -14.840488
                 1940.48                      -14.837039
                 1940.71                      -14.833811
               1940.9401                      -14.830805
                 1941.17                      -14.828017
                  1941.4                      -14.825446
                 1941.63                      -14.823091
                 1941.86                      -14.820953
                 1942.09                      -14.819029
               1942.3199                      -14.817319
                 1942.55                      -14.815821
                 1942.78                      -14.814534
                 1943.01                      -14.813458
                 1943.24                      -14.812591
                 1943.47                      -14.811932
                  1943.7                       -14.81148
               1943.9299                      -14.811235
                 1944.16                      -14.811196
                 1944.39                       -14.81136
                 1944.62                      -14.811729
               1944.8501                      -14.812301
               1945.0801                      -14.813074
               1945.3099                      -14.814048
               1945.5399                      -14.815222
                 1945.77                      -14.816595
                    1946                      -14.818167
                 1946.23                      -14.819936
               1946.4601                      -14.821902
               1946.6901                      -14.824064
               1946.9199                      -14.826419
               1947.1499                       -14.82897
                 1947.38                      -14.831715
                 1947.61                      -14.834652
                 1947.84                       -14.83778
               1948.0701                      -14.841099
                  1948.3                       -14.84461
                 1948.53                       -14.84831
                 1948.76                      -14.852198
                 1948.99                      -14.856275
                 1949.22                       -14.86054
                 1949.45                      -14.864991
               1949.6801                      -14.869629
                 1949.91                      -14.874451
                 1950.14                      -14.879458
                 1950.37                       -14.88465
                  1950.6                      -14.890024
                 1950.83                      -14.895582
               1951.0599                      -14.901322
                 1951.29                      -14.907244
                 1951.52                      -14.913346
                 1951.75                      -14.919628
                 1951.98                      -14.926091
               1952.2101                      -14.932732
               1952.4401                      -14.939553
               1952.6699                       -14.94655
               1952.8999                      -14.953725
                 1953.13                      -14.961077
                 1953.36                      -14.968606
                 1953.59                      -14.976309
               1953.8201                      -14.984189
                 1954.05                      -14.992242
               1954.2799                      -15.000469
               1954.5099                      -15.008871
                 1954.74                      -15.017446
                 1954.97                      -15.026192
                  1955.2                      -15.035111
               1955.4301                      -15.044202
                 1955.66                      -15.053464
                 1955.89                      -15.062897
               1956.1201                      -15.072499
                 1956.35                      -15.082271
                 1956.58                      -15.092212
               1956.8099                      -15.102322
                 1957.04                        -15.1126
                 1957.27                      -15.123046
                  1957.5                      -15.133661
               1957.7301                      -15.144442
                 1957.96                      -15.155389
               1958.1899                      -15.166502
               1958.4199                      -15.177781
                 1958.65                      -15.189226
                 1958.88                      -15.200835
                 1959.11                      -15.212611
               1959.3401                      -15.224549
               1959.5701                      -15.236651
                  1959.8                      -15.248916
               1960.0299                      -15.261345
                 1960.26                      -15.273936
                 1960.49                       -15.28669
                 1960.72                      -15.299606
                 1960.95                      -15.312683
               1961.1801                      -15.325921
                 1961.41                      -15.339322
               1961.6399                      -15.352881
                 1961.87                      -15.366602
                  1962.1                      -15.380482
                 1962.33                      -15.394522
               1962.5599                      -15.408722
                 1962.79                       -15.42308
                 1963.02                      -15.437598
                 1963.25                      -15.452273
               1963.4801                      -15.467107
                 1963.71                      -15.482098
               1963.9399                      -15.497247
               1964.1699                      -15.512553
                  1964.4                      -15.528016
                 1964.63                      -15.543637
                 1964.86                      -15.559413
               1965.0901                      -15.575346
               1965.3199                      -15.591433
               1965.5499                      -15.607678
               1965.7799                      -15.624077
                 1966.01                      -15.640631
                 1966.24                       -15.65734
                 1966.47                      -15.674204
               1966.7001                      -15.691222
               1966.9301                      -15.708395
                 1967.16                      -15.725721
               1967.3899                      -15.743201
                 1967.62                      -15.760834
                 1967.85                      -15.778622
                 1968.08                      -15.796562
               1968.3101                      -15.814654
                 1968.54                      -15.832899
                 1968.77                      -15.851296
               1968.9999                      -15.869846
                 1969.23                      -15.888548
                 1969.46                      -15.907402
               1969.6899                      -15.926406
                 1969.92                      -15.945563
                 1970.15                      -15.964871
                 1970.38                      -15.984329
                 1970.61                      -16.003938
               1970.8401                      -16.023698
               1971.0699                      -16.043609
               1971.2999                      -16.063669
                 1971.53                       -16.08388
                 1971.76                      -16.104241
                 1971.99                      -16.124752
                 1972.22                      -16.145412
               1972.4501                      -16.166221
               1972.6799                       -16.18718
               1972.9099                      -16.208287
                 1973.14                      -16.229545
                 1973.37                       -16.25095
                  1973.6                      -16.272504
                 1973.83                      -16.294207
               1974.0601                      -16.316057
                 1974.29                      -16.338057
                 1974.52                      -16.360204
                 1974.75                      -16.382499
                 1974.98                      -16.404942
                 1975.21                      -16.427532
               1975.4399                      -16.450271
                 1975.67                      -16.473155
                  1975.9                      -16.496187
                 1976.13                      -16.519367
                 1976.36                      -16.542694
                 1976.59                      -16.566167
               1976.8199                      -16.589786
               1977.0499                      -16.613552
                 1977.28                      -16.637465
                 1977.51                      -16.661524
                 1977.74                      -16.685728
               1977.9701                       -16.71008
               1978.2001                      -16.734577
               1978.4299                      -16.759219
               1978.6599                      -16.784007
                 1978.89                      -16.808941
                 1979.12                      -16.834021
                 1979.35                      -16.859245
               1979.5801                      -16.884614
               1979.8101                      -16.910129
               1980.0399                      -16.935789
               1980.2699                      -16.961592
                  1980.5                      -16.987541
                 1980.73                      -17.013634
                 1980.96                      -17.039872
               1981.1901                      -17.066254
                 1981.42                       -17.09278
                 1981.65                      -17.119451
                 1981.88                      -17.146264
                 1982.11                      -17.173223
                 1982.34                      -17.200325
               1982.5699                      -17.227569
                  1982.8                      -17.254958
                 1983.03                       -17.28249
                 1983.26                      -17.310164
                 1983.49                      -17.337983
                 1983.72                      -17.365944
                 1983.95                      -17.394047
               1984.1799                      -17.422293
                 1984.41                      -17.450682
                 1984.64                      -17.479213
                 1984.87                      -17.507887
                  1985.1                      -17.536703
               1985.3301                      -17.565659
               1985.5601                      -17.594759
               1985.7899                      -17.623999
                 1986.02                      -17.653382
                 1986.25                      -17.682905
                 1986.48                       -17.71257
                 1986.71                      -17.742376
               1986.9401                      -17.772323
                 1987.17                       -17.80241
               1987.3999                      -17.832638
                 1987.63                      -17.863007
                 1987.86                      -17.893516
                 1988.09                      -17.924164
               1988.3199                      -17.954953
                 1988.55                      -17.985881
                 1988.78                      -18.016949
                 1989.01                      -18.048156
               1989.2401                      -18.079502
                 1989.47                      -18.110987
                  1989.7                      -18.142611
               1989.9299                      -18.174374
                 1990.16                      -18.206275
                 1990.39                      -18.238313
                 1990.62                       -18.27049
               1990.8501                      -18.302804
                 1991.08                      -18.335256
               1991.3099                      -18.367845
               1991.5399                      -18.400571
                 1991.77                      -18.433433
                    1992                      -18.466432
                 1992.23                      -18.499568
               1992.4601                      -18.532838
               1992.6901                      -18.566245
                 1992.92                      -18.599787
               1993.1499                      -18.633465
                 1993.38                      -18.667276
                 1993.61                      -18.701223
                 1993.84                      -18.735303
               1994.0701                      -18.769518
                  1994.3                      -18.803866
                 1994.53                      -18.838347
               1994.7599                      -18.872961
                 1994.99                      -18.907707
                 1995.22                      -18.942586
                 1995.45                      -18.977596
               1995.6801                      -19.012738
                 1995.91                      -19.048011
                 1996.14                      -19.083414
                 1996.37                      -19.118948
               1996.6001                      -19.154612
                 1996.83                      -19.190404
               1997.0599                      -19.226326
                 1997.29                      -19.262376
                 1997.52                      -19.298555
                 1997.75                      -19.334859
                 1997.98                      -19.371293
               1998.2101                      -19.407852
               1998.4399                      -19.444538
               1998.6699                      -19.481349
               1998.8999                      -19.518285
                 1999.13                      -19.555345
                 1999.36                      -19.592529
                 1999.59                      -19.629837
               1999.8201                      -19.667268
                 2000.05                       -19.70482
                 2000.28                      -19.742495
               2000.5099                       -19.78029
                 2000.74                      -19.818205
                 2000.97                       -19.85624
                  2001.2                      -19.894394
               2001.4301                      -19.932665
                 2001.66                      -19.971054
                 2001.89                      -20.009561
               2002.1199                      -20.048183
                 2002.35                      -20.086921
                 2002.58                      -20.125772
               2002.8099                      -20.164739
                 2003.04                      -20.203818
                 2003.27                      -20.243008
                  2003.5                       -20.28231
               2003.7301                      -20.321722
               2003.9601                      -20.361244
               2004.1899                      -20.400874
               2004.4199                      -20.440611
                 2004.65                      -20.480455
                 2004.88                      -20.520405
                 2005.11                      -20.560459
               2005.3401                      -20.600618
               2005.5701                      -20.640877
               2005.7999                      -20.681239
               2006.0299                      -20.721702
                 2006.26                      -20.762264
                 2006.49                      -20.802923
                 2006.72                      -20.843681
                 2006.95                      -20.884533
               2007.1801                      -20.925481
                 2007.41                      -20.966521
                 2007.64                      -21.007653
                 2007.87                      -21.048877
                  2008.1                      -21.090189
                 2008.33                       -21.13159
               2008.5599                      -21.173077
                 2008.79                      -21.214651
                 2009.02                      -21.256307
                 2009.25                      -21.298046
                 2009.48                      -21.339866
                 2009.71                      -21.381766
               2009.9399                      -21.423743
               2010.1699                      -21.465797
                  2010.4                      -21.507925
                 2010.63                      -21.550126
                 2010.86                      -21.592399
               2011.0901                      -21.634742
               2011.3201                      -21.677151
               2011.5499                      -21.719628
               2011.7799                      -21.762169
                 2012.01                      -21.804772
                 2012.24                      -21.847436
                 2012.47                      -21.890158
               2012.7001                      -21.932936
               2012.9301                      -21.975771
               2013.1599                      -22.018658
               2013.3899                      -22.061595
                 2013.62                      -22.104581
                 2013.85                      -22.147615
                 2014.08                      -22.190691
               2014.3101                      -22.233811
                 2014.54                       -22.27697
                 2014.77                      -22.320167
                    2015                        -22.3634
                 2015.23                      -22.406665
                 2015.46                      -22.449961
               2015.6899                      -22.493285
                 2015.92                      -22.536636
                 2016.15                       -22.58001
                 2016.38                      -22.623404
                 2016.61                      -22.666818
                 2016.84                      -22.710246
               2017.0699                      -22.753687
               2017.2999                      -22.797139
                 2017.53                      -22.840599
                 2017.76                      -22.884064
                 2017.99                       -22.92753
                 2018.22                      -22.970995
               2018.4501                      -23.014457
               2018.6801                      -23.057913
               2018.9099                       -23.10136
                 2019.14                      -23.144794
                 2019.37                      -23.188213
                  2019.6                      -23.231613
                 2019.83                      -23.274991
               2020.0601                      -23.318346
                 2020.29                      -23.361673
               2020.5199                      -23.404968
                 2020.75                      -23.448229
                 2020.98                      -23.491453
                 2021.21                      -23.534635
               2021.4399                      -23.577775
                 2021.67                      -23.620865
                  2021.9                      -23.663906
                 2022.13                      -23.706893
               2022.3601                      -23.749822
                 2022.59                      -23.792689
               2022.8199                      -23.835494
               2023.0499                      -23.878228
                 2023.28                      -23.920892
                 2023.51                      -23.963481
                 2023.74                       -24.00599
               2023.9701                      -24.048417
                  2024.2                      -24.090758
               2024.4299                      -24.133009
               2024.6599                      -24.175166
                 2024.89                      -24.217228
                 2025.12                      -24.259188
                 2025.35                      -24.301043
               2025.5801                      -24.342791
               2025.8101                      -24.384425
                 2026.04                      -24.425945
               2026.2699                      -24.467345
                  2026.5                      -24.508621
                 2026.73                      -24.549771
                 2026.96                       -24.59079
               2027.1901                      -24.631674
                 2027.42                      -24.672419
                 2027.65                      -24.713023
               2027.8799                      -24.753481
                 2028.11                      -24.793789
                 2028.34                      -24.833943
               2028.5699                      -24.873941
                  2028.8                      -24.913778
                 2029.03                       -24.95345
                 2029.26                      -24.992954
                 2029.49                      -25.032286
               2029.7201                      -25.071442
                 2029.95                       -25.11042
               2030.1799                      -25.149214
                 2030.41                      -25.187823
                 2030.64                      -25.226241
                 2030.87                      -25.264467
                  2031.1                      -25.302495
               2031.3301                      -25.340324
               2031.5599                      -25.377949
               2031.7899                      -25.415367
                 2032.02                      -25.452575
                 2032.25                       -25.48957
                 2032.48                      -25.526349
                 2032.71                      -25.562908
               2032.9401                      -25.599245
                 2033.17                      -25.635356
                  2033.4                      -25.671238
                 2033.63                      -25.706891
                 2033.86                      -25.742308
                 2034.09                      -25.777489
               2034.3199                       -25.81243
                 2034.55                       -25.84713
                 2034.78                      -25.881585
                 2035.01                      -25.915794
                 2035.24                      -25.949753
                 2035.47                      -25.983462
                  2035.7                      -26.016918
               2035.9299                      -26.050117
                 2036.16                       -26.08306
                 2036.39                      -26.115744
                 2036.62                      -26.148166
               2036.8501                      -26.180327
               2037.0801                      -26.212223
               2037.3099                      -26.243854
               2037.5399                      -26.275218
                 2037.77                      -26.306315
                    2038                      -26.337142
                 2038.23                      -26.367699
               2038.4601                      -26.397986
               2038.6901                      -26.427999
               2038.9199                      -26.457742
               2039.1499                      -26.487212
                 2039.38                      -26.516409
                 2039.61                      -26.545332
                 2039.84                      -26.573981
               2040.0701                      -26.602357
                  2040.3                      -26.630459
                 2040.53                      -26.658287
                 2040.76                      -26.685843
                 2040.99                      -26.713125
                 2041.22                      -26.740136
                 2041.45                      -26.766875
               2041.6801                      -26.793343
                 2041.91                      -26.819542
                 2042.14                      -26.845472
                 2042.37                      -26.871135
                  2042.6                      -26.896531
                 2042.83                      -26.921662
               2043.0599                      -26.946531
                 2043.29                      -26.971138
                 2043.52                      -26.995485
                 2043.75                      -27.019573
                 2043.98                      -27.043407
               2044.2101                      -27.066986
               2044.4401                      -27.090314
               2044.6699                      -27.113393
               2044.8999                      -27.136226
                 2045.13                      -27.158814
                 2045.36                       -27.18116
                 2045.59                      -27.203268
               2045.8201                       -27.22514
                 2046.05                      -27.246779
               2046.2799                       -27.26819
               2046.5099                      -27.289372
                 2046.74                      -27.310334
                 2046.97                      -27.331074
                  2047.2                      -27.351599
               2047.4301                      -27.371911
                 2047.66                      -27.392014
                 2047.89                      -27.411912
               2048.1201                      -27.431608
               2048.3499                      -27.451107
               2048.5801                      -27.470414
               2048.8101                       -27.48953
                 2049.04                      -27.508461
                 2049.27                      -27.527212
                  2049.5                      -27.545785
                 2049.73                      -27.564188
                 2049.96                      -27.582421
               2050.1899                      -27.600492
               2050.4199                      -27.618404
               2050.6499                      -27.636161
               2050.8799                      -27.653769
               2051.1101                      -27.671233
               2051.3401                      -27.688555
               2051.5701                      -27.705744
                  2051.8                      -27.722803
                 2052.03                      -27.739734
                 2052.26                      -27.756547
                 2052.49                      -27.773243
                 2052.72                       -27.78983
                 2052.95                      -27.806311
               2053.1799                      -27.822691
               2053.4102                      -27.838976
               2053.6399                      -27.855172
               2053.8699                      -27.871282
               2054.0999                      -27.887313
               2054.3301                      -27.903268
               2054.5601                      -27.919155
                 2054.79                      -27.934978
                 2055.02                      -27.950741
                 2055.25                      -27.966451
                 2055.48                      -27.982113
                 2055.71                      -27.997733
               2055.9399                      -28.013313
               2056.1699                      -28.028862
               2056.3999                      -28.044383
               2056.6301                      -28.059883
               2056.8601                      -28.075366
               2057.0901                      -28.090837
               2057.3198                      -28.106302
                 2057.55                      -28.121766
                 2057.78                      -28.137235
                 2058.01                      -28.152713
                 2058.24                      -28.168208
                 2058.47                      -28.183721
                  2058.7                      -28.199261
               2058.9299                      -28.214831
               2059.1602                      -28.230436
               2059.3899                      -28.246084
               2059.6199                      -28.261776
               2059.8501                      -28.277521
               2060.0801                      -28.293322
               2060.3101                      -28.309184
                 2060.54                      -28.325113
                 2060.77                      -28.341115
                    2061                      -28.357192
                 2061.23                      -28.373352
                 2061.46                      -28.389599
               2061.6899                      -28.405938
               2061.9199                      -28.422373
               2062.1499                       -28.43891
               2062.3801                      -28.455555
               2062.6101                       -28.47231
               2062.8401                      -28.489183
               2063.0701                      -28.506177
                  2063.3                      -28.523297
                 2063.53                      -28.540547
                 2063.76                      -28.557934
                 2063.99                      -28.575462
                 2064.22                      -28.593134
                 2064.45                      -28.610957
               2064.6799                      -28.628935
               2064.9099                      -28.647072
               2065.1399                      -28.665372
               2065.3699                      -28.683842
               2065.6001                      -28.702484
               2065.8301                      -28.721305
               2066.0601                      -28.740307
                 2066.29                      -28.759497
                 2066.52                      -28.778877
                 2066.75                      -28.798453
                 2066.98                       -28.81823
                 2067.21                      -28.838209
               2067.4399                        -28.8584
               2067.6699                      -28.878803
               2067.9001                      -28.899422
               2068.1301                      -28.920265
               2068.3599                      -28.941334
               2068.5898                      -28.962632
               2068.8201                      -28.984165
                 2069.05                      -29.005938
                 2069.28                      -29.027953
                 2069.51                      -29.050216
                 2069.74                       -29.07273
                 2069.97                      -29.095499
                  2070.2                      -29.118528
               2070.4299                      -29.141821
               2070.6599                      -29.165382
               2070.8899                      -29.189213
               2071.1199                      -29.213321
               2071.3501                      -29.237709
               2071.5801                      -29.262379
               2071.8101                      -29.287339
                 2072.04                      -29.312589
                 2072.27                      -29.338134
                  2072.5                       -29.36398
                 2072.73                      -29.390127
                 2072.96                      -29.416583
               2073.1899                      -29.443349
               2073.4199                       -29.47043
               2073.6501                      -29.497829
               2073.8801                       -29.52555
               2074.1099                      -29.553597
               2074.3398                      -29.581975
               2074.5701                      -29.610684
                  2074.8                      -29.639732
                 2075.03                      -29.669118
                 2075.26                      -29.698851
