        Frequency / MHz                S1,1 (24)/abs,dB
----------------------------------------------------------------------
                    1900                     -0.77109453
                 1900.23                     -0.77827373
               1900.4601                     -0.78557903
               1900.6901                     -0.79300665
                 1900.92                     -0.80055522
               1901.1499                     -0.80822049
                 1901.38                     -0.81600223
                 1901.61                     -0.82389618
                 1901.84                     -0.83190122
               1902.0701                      -0.8400139
                  1902.3                     -0.84823178
                 1902.53                     -0.85655321
               1902.7599                     -0.86497447
                 1902.99                     -0.87349425
                 1903.22                     -0.88210951
                 1903.45                     -0.89081697
               1903.6801                     -0.89961598
                 1903.91                     -0.90850293
                 1904.14                      -0.9174755
                 1904.37                     -0.92653132
               1904.6001                     -0.93566876
                 1904.83                     -0.94488338
               1905.0599                     -0.95417472
                 1905.29                     -0.96353967
                 1905.52                     -0.97297646
                 1905.75                     -0.98248144
                 1905.98                     -0.99205423
               1906.2101                      -1.0016899
               1906.4399                      -1.0113887
               1906.6699                      -1.0211463
               1906.8999                      -1.0309624
                 1907.13                      -1.0408334
                 1907.36                      -1.0507573
                 1907.59                      -1.0607323
               1907.8201                      -1.0707552
                 1908.05                      -1.0808258
                 1908.28                      -1.0909403
               1908.5099                      -1.1010962
                 1908.74                      -1.1112929
                 1908.97                      -1.1215278
                  1909.2                      -1.1317984
               1909.4301                      -1.1421037
                 1909.66                      -1.1524402
                 1909.89                      -1.1628068
               1910.1199                      -1.1732027
                 1910.35                       -1.183624
                 1910.58                      -1.1940701
               1910.8099                      -1.2045386
                 1911.04                      -1.2150275
                 1911.27                      -1.2255362
                  1911.5                      -1.2360611
               1911.7301                      -1.2466018
               1911.9601                       -1.257157
               1912.1899                      -1.2677244
               1912.4199                      -1.2783022
                 1912.65                       -1.288889
                 1912.88                      -1.2994839
                 1913.11                      -1.3100843
               1913.3401                      -1.3206899
               1913.5701                      -1.3312983
               1913.7999                      -1.3419079
               1914.0299                      -1.3525187
                 1914.26                      -1.3631285
                 1914.49                      -1.3737365
                 1914.72                      -1.3843406
                 1914.95                      -1.3949404
               1915.1801                      -1.4055348
                 1915.41                      -1.4161219
                 1915.64                      -1.4267022
                 1915.87                      -1.4372735
                  1916.1                      -1.4478348
                 1916.33                      -1.4583847
               1916.5599                       -1.468924
                 1916.79                      -1.4794509
                 1917.02                      -1.4899639
                 1917.25                      -1.5004634
                 1917.48                      -1.5109481
                 1917.71                      -1.5214178
               1917.9399                       -1.531871
               1918.1699                      -1.5423086
                  1918.4                      -1.5527281
                 1918.63                      -1.5631307
                 1918.86                      -1.5735157
               1919.0901                      -1.5838815
               1919.3201                      -1.5942289
               1919.5499                      -1.6045572
               1919.7799                       -1.614866
                 1920.01                       -1.625156
                 1920.24                      -1.6354264
                 1920.47                      -1.6456765
               1920.7001                      -1.6559065
               1920.9301                      -1.6661171
               1921.1599                      -1.6763078
               1921.3899                      -1.6864787
                 1921.62                      -1.6966297
                 1921.85                      -1.7067615
                 1922.08                      -1.7168744
               1922.3101                      -1.7269672
                 1922.54                      -1.7370415
                 1922.77                      -1.7470977
                    1923                      -1.7571355
                 1923.23                      -1.7671558
                 1923.46                      -1.7771584
               1923.6899                      -1.7871442
                 1923.92                      -1.7971139
                 1924.15                      -1.8070685
                 1924.38                      -1.8170076
                 1924.61                      -1.8269328
                 1924.84                      -1.8368427
               1925.0699                      -1.8467417
               1925.2999                      -1.8566277
                 1925.53                      -1.8665029
                 1925.76                       -1.876368
                 1925.99                      -1.8862229
                 1926.22                      -1.8960689
               1926.4501                      -1.9059079
               1926.6801                      -1.9157407
               1926.9099                       -1.925567
                 1927.14                      -1.9353899
                 1927.37                      -1.9452088
                  1927.6                      -1.9550263
                 1927.83                      -1.9648426
               1928.0601                      -1.9746587
                 1928.29                      -1.9844767
               1928.5199                      -1.9942978
                 1928.75                      -2.0041231
                 1928.98                      -2.0139537
                 1929.21                      -2.0237922
               1929.4399                      -2.0336377
                 1929.67                      -2.0434939
                  1929.9                      -2.0533612
                 1930.13                       -2.063242
               1930.3601                      -2.0731362
                 1930.59                      -2.0830472
               1930.8199                      -2.0929754
               1931.0499                      -2.1029219
                 1931.28                      -2.1128904
                 1931.51                       -2.122881
                 1931.74                      -2.1328957
               1931.9701                      -2.1429369
                  1932.2                      -2.1530052
               1932.4299                      -2.1631036
               1932.6599                      -2.1732331
                 1932.89                      -2.1833954
                 1933.12                      -2.1935925
                 1933.35                      -2.2038271
               1933.5801                       -2.214099
               1933.8101                      -2.2244126
                 1934.04                      -2.2347687
               1934.2699                      -2.2451689
                  1934.5                      -2.2556151
                 1934.73                      -2.2661099
                 1934.96                      -2.2766547
               1935.1901                      -2.2872523
                 1935.42                      -2.2979047
                 1935.65                      -2.3086126
               1935.8799                      -2.3193786
                 1936.11                      -2.3302059
                 1936.34                      -2.3410963
               1936.5699                      -2.3520502
                  1936.8                      -2.3630716
                 1937.03                      -2.3741608
                 1937.26                      -2.3853226
                 1937.49                       -2.396556
               1937.7201                      -2.4078653
                 1937.95                      -2.4192522
               1938.1799                      -2.4307191
                 1938.41                      -2.4422676
                 1938.64                         -2.4539
                 1938.87                      -2.4656183
                  1939.1                      -2.4774251
               1939.3301                      -2.4893226
               1939.5599                      -2.5013135
               1939.7899                       -2.513399
                 1940.02                       -2.525582
                 1940.25                      -2.5378638
                 1940.48                      -2.5502492
                 1940.71                      -2.5627367
               1940.9401                      -2.5753317
                 1941.17                      -2.5880353
                  1941.4                      -2.6008505
                 1941.63                      -2.6137777
                 1941.86                      -2.6268209
                 1942.09                      -2.6399815
               1942.3199                      -2.6532626
                 1942.55                      -2.6666665
                 1942.78                      -2.6801944
                 1943.01                      -2.6938497
                 1943.24                      -2.7076353
                 1943.47                      -2.7215507
                  1943.7                       -2.735602
               1943.9299                      -2.7497887
                 1944.16                      -2.7641137
                 1944.39                      -2.7785805
                 1944.62                        -2.79319
               1944.8501                       -2.807946
               1945.0801                      -2.8228495
               1945.3099                      -2.8379044
               1945.5399                      -2.8531117
                 1945.77                      -2.8684737
                    1946                      -2.8839937
                 1946.23                      -2.8996733
               1946.4601                       -2.915515
               1946.6901                      -2.9315225
               1946.9199                      -2.9476958
               1947.1499                      -2.9640399
                 1947.38                      -2.9805545
                 1947.61                      -2.9972447
                 1947.84                      -3.0141104
               1948.0701                      -3.0311561
                  1948.3                       -3.048383
                 1948.53                      -3.0657928
                 1948.76                      -3.0833896
                 1948.99                      -3.1011756
                 1949.22                      -3.1191527
                 1949.45                      -3.1373232
               1949.6801                      -3.1556896
                 1949.91                      -3.1742553
                 1950.14                      -3.1930208
                 1950.37                      -3.2119906
                  1950.6                      -3.2311653
                 1950.83                      -3.2505491
               1951.0599                      -3.2701433
                 1951.29                      -3.2899521
                 1951.52                      -3.3099749
                 1951.75                      -3.3302172
                 1951.98                      -3.3506799
               1952.2101                      -3.3713666
               1952.4401                      -3.3922788
               1952.6699                      -3.4134189
               1952.8999                        -3.43479
                 1953.13                      -3.4563954
                 1953.36                      -3.4782364
                 1953.59                      -3.5003164
               1953.8201                      -3.5226371
                 1954.05                      -3.5452028
               1954.2799                      -3.5680143
               1954.5099                      -3.5910748
                 1954.74                      -3.6143868
                 1954.97                       -3.637954
                  1955.2                       -3.661778
               1955.4301                      -3.6858607
                 1955.66                      -3.7102074
                 1955.89                      -3.7348186
               1956.1201                      -3.7596971
                 1956.35                      -3.7848476
                 1956.58                      -3.8102697
               1956.8099                      -3.8359692
                 1957.04                      -3.8619485
                 1957.27                      -3.8882074
                  1957.5                      -3.9147527
               1957.7301                      -3.9415856
                 1957.96                      -3.9687074
               1958.1899                      -3.9961234
               1958.4199                      -4.0238346
                 1958.65                      -4.0518459
                 1958.88                      -4.0801597
                 1959.11                      -4.1087768
               1959.3401                      -4.1377031
               1959.5701                      -4.1669402
                  1959.8                      -4.1964918
               1960.0299                      -4.2263594
                 1960.26                      -4.2565495
                 1960.49                      -4.2870615
                 1960.72                         -4.3179
                 1960.95                      -4.3490697
               1961.1801                      -4.3805717
                 1961.41                      -4.4124097
               1961.6399                      -4.4445881
                 1961.87                      -4.4771087
                  1962.1                      -4.5099759
                 1962.33                      -4.5431927
               1962.5599                      -4.5767625
                 1962.79                      -4.6106895
                 1963.02                      -4.6449773
                 1963.25                       -4.679628
               1963.4801                      -4.7146458
                 1963.71                      -4.7500352
               1963.9399                      -4.7857979
               1964.1699                      -4.8219404
                  1964.4                       -4.858465
                 1964.63                      -4.8953749
                 1964.86                      -4.9326743
               1965.0901                      -4.9703679
               1965.3199                       -5.008459
               1965.5499                      -5.0469515
               1965.7799                      -5.0858511
                 1966.01                      -5.1251578
                 1966.24                      -5.1648805
                 1966.47                      -5.2050204
               1966.7001                      -5.2455838
               1966.9301                      -5.2865729
                 1967.16                      -5.3279943
               1967.3899                      -5.3698506
                 1967.62                      -5.4121476
                 1967.85                      -5.4548883
                 1968.08                      -5.4980786
               1968.3101                      -5.5417243
                 1968.54                       -5.585828
                 1968.77                      -5.6303961
               1968.9999                      -5.6754329
                 1969.23                      -5.7209423
                 1969.46                       -5.766932
               1969.6899                      -5.8134038
                 1969.92                      -5.8603658
                 1970.15                      -5.9078235
                 1970.38                      -5.9557791
                 1970.61                      -6.0042423
               1970.8401                      -6.0532151
               1971.0699                      -6.1027052
               1971.2999                      -6.1527177
                 1971.53                      -6.2032583
                 1971.76                      -6.2543339
                 1971.99                      -6.3059497
                 1972.22                      -6.3581122
               1972.4501                      -6.4108263
               1972.6799                      -6.4641016
               1972.9099                      -6.5179415
                 1973.14                       -6.572354
                 1973.37                      -6.6273453
                  1973.6                      -6.6829222
                 1973.83                      -6.7390933
               1974.0601                      -6.7958624
                 1974.29                      -6.8532395
                 1974.52                      -6.9112308
                 1974.75                      -6.9698446
                 1974.98                      -7.0290868
                 1975.21                      -7.0889667
               1975.4399                      -7.1494907
                 1975.67                      -7.2106694
                  1975.9                      -7.2725084
                 1976.13                      -7.3350157
                 1976.36                      -7.3982025
                 1976.59                      -7.4620745
               1976.8199                      -7.5266426
               1977.0499                      -7.5919139
                 1977.28                      -7.6578992
                 1977.51                      -7.7246062
                 1977.74                      -7.7920452
               1977.9701                      -7.8602262
               1978.2001                      -7.9291577
               1978.4299                        -7.99885
               1978.6599                      -8.0693133
                 1978.89                      -8.1405587
                 1979.12                      -8.2125951
                 1979.35                      -8.2854335
               1979.5801                      -8.3590861
               1979.8101                      -8.4335632
               1980.0399                      -8.5088751
               1980.2699                      -8.5850346
                  1980.5                       -8.662052
                 1980.73                      -8.7399406
                 1980.96                      -8.8187105
               1981.1901                      -8.8983746
                 1981.42                      -8.9789463
                 1981.65                      -9.0604371
                 1981.88                      -9.1428592
                 1982.11                      -9.2262274
                 1982.34                      -9.3105533
               1982.5699                      -9.3958504
                  1982.8                      -9.4821329
                 1983.03                       -9.569414
                 1983.26                      -9.6577071
                 1983.49                       -9.747027
                 1983.72                      -9.8373874
                 1983.95                      -9.9288016
               1984.1799                      -10.021286
                 1984.41                      -10.114853
                 1984.64                       -10.20952
                 1984.87                      -10.305298
                  1985.1                      -10.402204
               1985.3301                      -10.500253
               1985.5601                      -10.599457
               1985.7899                      -10.699834
                 1986.02                      -10.801396
                 1986.25                      -10.904159
                 1986.48                      -11.008137
                 1986.71                      -11.113345
               1986.9401                      -11.219794
                 1987.17                      -11.327499
               1987.3999                      -11.436475
                 1987.63                      -11.546732
                 1987.86                      -11.658282
                 1988.09                      -11.771138
               1988.3199                      -11.885309
                 1988.55                      -12.000806
                 1988.78                      -12.117637
                 1989.01                      -12.235809
               1989.2401                      -12.355327
                 1989.47                      -12.476198
                  1989.7                      -12.598423
               1989.9299                      -12.722004
                 1990.16                      -12.846938
                 1990.39                      -12.973222
                 1990.62                       -13.10085
               1990.8501                      -13.229809
                 1991.08                      -13.360089
               1991.3099                      -13.491672
               1991.5399                      -13.624535
                 1991.77                      -13.758653
                    1992                      -13.893994
                 1992.23                      -14.030519
               1992.4601                      -14.168184
               1992.6901                      -14.306941
                 1992.92                      -14.446726
               1993.1499                      -14.587472
                 1993.38                      -14.729104
                 1993.61                       -14.87153
                 1993.84                      -15.014652
               1994.0701                      -15.158359
                  1994.3                      -15.302523
                 1994.53                      -15.447006
               1994.7599                       -15.59165
                 1994.99                      -15.736282
                 1995.22                      -15.880712
                 1995.45                      -16.024727
               1995.6801                      -16.168097
                 1995.91                       -16.31057
                 1996.14                      -16.451868
                 1996.37                      -16.591696
               1996.6001                       -16.72973
                 1996.83                      -16.865624
               1997.0599                      -16.999007
                 1997.29                      -17.129484
                 1997.52                       -17.25664
                 1997.75                      -17.380037
                 1997.98                      -17.499217
               1998.2101                      -17.613707
               1998.4399                       -17.72302
               1998.6699                      -17.826664
               1998.8999                      -17.924138
                 1999.13                       -18.01495
                 1999.36                      -18.098613
                 1999.59                      -18.174657
               1999.8201                      -18.242634
                 2000.05                      -18.302129
                 2000.28                      -18.352766
               2000.5099                      -18.394215
                 2000.74                      -18.426196
                 2000.97                      -18.448493
                  2001.2                      -18.460947
               2001.4301                      -18.463473
                 2001.66                       -18.45605
                 2001.89                      -18.438728
               2002.1199                      -18.411626
                 2002.35                      -18.374928
                 2002.58                       -18.32888
               2002.8099                      -18.273784
                 2003.04                      -18.209992
                 2003.27                      -18.137899
                  2003.5                      -18.057934
               2003.7301                      -17.970556
               2003.9601                      -17.876244
               2004.1899                      -17.775488
               2004.4199                      -17.668783
                 2004.65                       -17.55663
                 2004.88                      -17.439516
                 2005.11                      -17.317926
               2005.3401                      -17.192321
               2005.5701                      -17.063155
               2005.7999                      -16.930853
               2006.0299                      -16.795824
                 2006.26                      -16.658451
                 2006.49                      -16.519092
                 2006.72                      -16.378085
                 2006.95                      -16.235741
               2007.1801                      -16.092346
                 2007.41                      -15.948169
                 2007.64                      -15.803448
                 2007.87                      -15.658409
                  2008.1                      -15.513252
                 2008.33                      -15.368161
               2008.5599                      -15.223301
                 2008.79                      -15.078819
                 2009.02                      -14.934852
                 2009.25                      -14.791518
                 2009.48                      -14.648923
                 2009.71                      -14.507162
               2009.9399                      -14.366317
               2010.1699                      -14.226464
                  2010.4                      -14.087664
                 2010.63                      -13.949975
                 2010.86                      -13.813445
               2011.0901                      -13.678113
               2011.3201                      -13.544015
               2011.5499                      -13.411182
               2011.7799                      -13.279636
                 2012.01                      -13.149397
                 2012.24                      -13.020482
                 2012.47                        -12.8929
               2012.7001                      -12.766661
               2012.9301                      -12.641771
               2013.1599                      -12.518232
               2013.3899                      -12.396043
                 2013.62                      -12.275205
                 2013.85                      -12.155713
                 2014.08                      -12.037561
               2014.3101                      -11.920743
                 2014.54                      -11.805252
                 2014.77                      -11.691077
                    2015                       -11.57821
