        Frequency / MHz                S2,2 (2)/abs,dB
----------------------------------------------------------------------
                    1900                      -3.0407853
                 1900.23                      -3.0523988
               1900.4601                      -3.0642731
               1900.6901                      -3.0764123
                 1900.92                      -3.0888206
               1901.1499                      -3.1015025
                 1901.38                      -3.1144603
                 1901.61                         -3.1277
                 1901.84                      -3.1412233
               1902.0701                      -3.1550357
                  1902.3                      -3.1691401
                 1902.53                      -3.1835416
               1902.7599                      -3.1982423
                 1902.99                      -3.2132464
                 1903.22                      -3.2285565
                 1903.45                      -3.2441781
               1903.6801                      -3.2601134
                 1903.91                      -3.2763666
                 1904.14                      -3.2929407
                 1904.37                      -3.3098388
               1904.6001                       -3.327066
                 1904.83                      -3.3446227
               1905.0599                      -3.3625142
                 1905.29                      -3.3807439
                 1905.52                      -3.3993144
                 1905.75                      -3.4182293
                 1905.98                      -3.4374932
               1906.2101                      -3.4571058
               1906.4399                       -3.477074
               1906.6699                      -3.4973982
               1906.8999                      -3.5180839
                 1907.13                      -3.5391321
                 1907.36                      -3.5605474
                 1907.59                      -3.5823319
               1907.8201                        -3.60449
                 1908.05                       -3.627024
                 1908.28                      -3.6499373
               1908.5099                      -3.6732332
                 1908.74                      -3.6969139
                 1908.97                      -3.7209838
                  1909.2                       -3.745446
               1909.4301                       -3.770302
                 1909.66                      -3.7955551
                 1909.89                        -3.82121
               1910.1199                      -3.8472698
                 1910.35                      -3.8737359
                 1910.58                       -3.900613
               1910.8099                      -3.9279031
                 1911.04                      -3.9556108
                 1911.27                      -3.9837379
                  1911.5                      -4.0122886
               1911.7301                      -4.0412658
               1911.9601                      -4.0706719
               1912.1899                      -4.1005121
               1912.4199                      -4.1307881
                 1912.65                      -4.1615033
                 1912.88                      -4.1926613
                 1913.11                      -4.2242662
               1913.3401                      -4.2563212
               1913.5701                       -4.288829
               1913.7999                      -4.3217927
               1914.0299                      -4.3552164
                 1914.26                      -4.3891047
                 1914.49                      -4.4234595
                 1914.72                      -4.4582852
                 1914.95                      -4.4935848
               1915.1801                      -4.5293639
                 1915.41                      -4.5656237
                 1915.64                      -4.6023703
                 1915.87                      -4.6396049
                  1916.1                      -4.6773338
                 1916.33                        -4.71556
               1916.5599                      -4.7542864
                 1916.79                      -4.7935193
                 1917.02                      -4.8332614
                 1917.25                      -4.8735163
                 1917.48                      -4.9142898
                 1917.71                      -4.9555855
               1917.9399                       -4.997408
               1918.1699                      -5.0397597
                  1918.4                      -5.0826477
                 1918.63                      -5.1260755
                 1918.86                      -5.1700476
               1919.0901                      -5.2145692
               1919.3201                      -5.2596437
               1919.5499                      -5.3052781
               1919.7799                      -5.3514753
                 1920.01                      -5.3982426
                 1920.24                      -5.4455827
                 1920.47                      -5.4935021
               1920.7001                      -5.5420042
               1920.9301                      -5.5910982
               1921.1599                      -5.6407865
               1921.3899                       -5.691076
                 1921.62                      -5.7419713
                 1921.85                      -5.7934785
                 1922.08                      -5.8456035
               1922.3101                      -5.8983529
                 1922.54                      -5.9517323
                 1922.77                      -6.0057476
                    1923                      -6.0604063
                 1923.23                      -6.1157139
                 1923.46                      -6.1716767
               1923.6899                       -6.228302
                 1923.92                      -6.2855961
                 1924.15                      -6.3435671
                 1924.38                      -6.4022204
                 1924.61                      -6.4615638
                 1924.84                      -6.5216056
               1925.0699                      -6.5823526
               1925.2999                      -6.6438116
                 1925.53                      -6.7059922
                 1925.76                      -6.7689008
                 1925.99                      -6.8325459
                 1926.22                      -6.8969364
               1926.4501                      -6.9620805
               1926.6801                      -7.0279858
               1926.9099                      -7.0946622
                 1927.14                      -7.1621179
                 1927.37                      -7.2303623
                  1927.6                      -7.2994045
                 1927.83                      -7.3692545
               1928.0601                      -7.4399217
                 1928.29                      -7.5114151
               1928.5199                      -7.5837462
                 1928.75                      -7.6569229
                 1928.98                      -7.7309574
                 1929.21                      -7.8058605
               1929.4399                      -7.8816422
                 1929.67                      -7.9583138
                  1929.9                       -8.035886
                 1930.13                      -8.1143706
               1930.3601                      -8.1937791
                 1930.59                       -8.274123
               1930.8199                      -8.3554145
               1931.0499                      -8.4376654
                 1931.28                      -8.5208893
                 1931.51                      -8.6050978
                 1931.74                      -8.6903043
               1931.9701                      -8.7765207
                  1932.2                      -8.8637603
               1932.4299                       -8.952038
               1932.6599                      -9.0413654
                 1932.89                      -9.1317576
