        Frequency / MHz                S2,2 (17)/abs,dB
                 1948.53                     -0.49956814
                 1948.76                     -0.50090649
                 1948.99                     -0.50224801
                 1949.22                     -0.50359414
                 1949.45                     -0.50494423
               1949.6801                     -0.50629837
                 1949.91                     -0.50765731
                 1950.14                     -0.50902082
                 1950.37                     -0.51038922
                  1950.6                     -0.51176161
                 1950.83                     -0.51313927
               1951.0599                     -0.51452185
                 1951.29                      -0.5159093
                 1951.52                     -0.51730301
                 1951.75                     -0.51870055
                 1951.98                     -0.52010429
               1952.2101                     -0.52151308
               1952.4401                     -0.52292878
               1952.6699                     -0.52434931
               1952.8999                     -0.52577594
                 1953.13                      -0.5272077
                 1953.36                     -0.52864696
                 1953.59                     -0.53009174
               1953.8201                     -0.53154298
                 1954.05                     -0.53300041
               1954.2799                     -0.53446532
               1954.5099                     -0.53593547
                 1954.74                     -0.53741294
                 1954.97                     -0.53889821
                  1955.2                     -0.54038985
               1955.4301                     -0.54188883
                 1955.66                      -0.5433945
                 1955.89                     -0.54490846
               1956.1201                     -0.54642935
                 1956.35                     -0.54795765
                 1956.58                      -0.5494944
               1956.8099                      -0.5510386
                 1957.04                     -0.55259078
                 1957.27                     -0.55415151
                  1957.5                     -0.55571963
               1957.7301                     -0.55729569
                 1957.96                     -0.55888071
               1958.1899                     -0.56047421
               1958.4199                     -0.56207589
                 1958.65                     -0.56368709
                 1958.88                     -0.56530689
                 1959.11                     -0.56693527
               1959.3401                     -0.56857284
               1959.5701                     -0.57021911
                  1959.8                      -0.5718748
               1960.0299                     -0.57354045
                 1960.26                     -0.57521513
                 1960.49                     -0.57689954
                 1960.72                     -0.57859315
                 1960.95                     -0.58029644
               1961.1801                     -0.58201068
                 1961.41                     -0.58373395
               1961.6399                     -0.58546705
                 1961.87                     -0.58721055
                  1962.1                     -0.58896499
                 1962.33                     -0.59072893
               1962.5599                     -0.59250426
                 1962.79                     -0.59428891
                 1963.02                     -0.59608534
                 1963.25                     -0.59789166
               1963.4801                     -0.59970973
                 1963.71                     -0.60153817
               1963.9399                     -0.60337746
               1964.1699                     -0.60522778
                  1964.4                     -0.60708979
                 1964.63                     -0.60896244
                 1964.86                     -0.61084718
               1965.0901                      -0.6127427
               1965.3199                     -0.61465002
               1965.5499                     -0.61656991
               1965.7799                     -0.61850061
                 1966.01                     -0.62044386
                 1966.24                      -0.6223977
                 1966.47                     -0.62436465
               1966.7001                     -0.62634383
               1966.9301                     -0.62833445
                 1967.16                     -0.63033794
               1967.3899                      -0.6323531
                 1967.62                     -0.63438036
                 1967.85                     -0.63642102
                 1968.08                     -0.63847448
               1968.3101                     -0.64053907
                 1968.54                     -0.64261783
                 1968.77                     -0.64470843
               1968.9999                     -0.64681268
                 1969.23                     -0.64892951
                 1969.46                     -0.65106013
               1969.6899                     -0.65320329
                 1969.92                     -0.65535907
                 1970.15                     -0.65752879
                 1970.38                     -0.65971115
                 1970.61                     -0.66190708
               1970.8401                      -0.6641168
               1971.0699                     -0.66634054
