        Frequency / MHz                S1,1 (28)/abs,dB
                 1948.53                     -0.99907326
                 1948.76                      -1.0036337
                 1948.99                      -1.0082335
                 1949.22                      -1.0128719
                 1949.45                      -1.0175485
               1949.6801                      -1.0222635
                 1949.91                      -1.0270172
                 1950.14                      -1.0318095
                 1950.37                      -1.0366398
                  1950.6                      -1.0415078
                 1950.83                      -1.0464147
               1951.0599                      -1.0513595
                 1951.29                      -1.0563424
                 1951.52                      -1.0613635
                 1951.75                      -1.0664217
                 1951.98                       -1.071518
               1952.2101                      -1.0766523
               1952.4401                      -1.0818234
               1952.6699                      -1.0870325
               1952.8999                      -1.0922792
                 1953.13                      -1.0975631
                 1953.36                      -1.1028839
                 1953.59                      -1.1082422
               1953.8201                      -1.1136372
                 1954.05                      -1.1190694
               1954.2799                      -1.1245385
               1954.5099                      -1.1300439
                 1954.74                      -1.1355869
                 1954.97                      -1.1411656
                  1955.2                      -1.1467811
               1955.4301                      -1.1524336
                 1955.66                      -1.1581207
                 1955.89                      -1.1638457
               1956.1201                      -1.1696063
                 1956.35                      -1.1754021
                 1956.58                      -1.1812349
               1956.8099                      -1.1871037
                 1957.04                      -1.1930077
                 1957.27                      -1.1989476
                  1957.5                       -1.204923
               1957.7301                      -1.2109344
                 1957.96                       -1.216981
               1958.1899                      -1.2230624
               1958.4199                      -1.2291807
                 1958.65                      -1.2353331
                 1958.88                       -1.241521
                 1959.11                      -1.2477443
               1959.3401                      -1.2540026
               1959.5701                      -1.2602962
                  1959.8                       -1.266625
               1960.0299                       -1.272988
                 1960.26                      -1.2793867
                 1960.49                      -1.2858202
                 1960.72                      -1.2922883
                 1960.95                      -1.2987913
               1961.1801                      -1.3053293
                 1961.41                      -1.3119029
               1961.6399                      -1.3185109
                 1961.87                      -1.3251529
                  1962.1                      -1.3318306
                 1962.33                      -1.3385432
               1962.5599                      -1.3452904
                 1962.79                      -1.3520724
                 1963.02                      -1.3588894
                 1963.25                      -1.3657417
               1963.4801                      -1.3726286
                 1963.71                      -1.3795509
               1963.9399                      -1.3865081
               1964.1699                      -1.3935002
                  1964.4                      -1.4005278
                 1964.63                      -1.4075906
                 1964.86                       -1.414689
               1965.0901                      -1.4218224
               1965.3199                      -1.4289924
               1965.5499                      -1.4361969
               1965.7799                      -1.4434375
                 1966.01                      -1.4507147
                 1966.24                      -1.4580272
                 1966.47                      -1.4653761
               1966.7001                       -1.472761
               1966.9301                      -1.4801822
                 1967.16                      -1.4876405
               1967.3899                      -1.4951346
                 1967.62                      -1.5026664
                 1967.85                      -1.5102355
                 1968.08                      -1.5178416
               1968.3101                      -1.5254855
                 1968.54                      -1.5331662
                 1968.77                      -1.5408855
               1968.9999                      -1.5486426
                 1969.23                      -1.5564382
                 1969.46                      -1.5642725
               1969.6899                      -1.5721458
                 1969.92                      -1.5800582
                 1970.15                      -1.5880099
                 1970.38                      -1.5960017
                 1970.61                      -1.6040325
               1970.8401                      -1.6121046
               1971.0699                      -1.6202172
               1971.2999                      -1.6283697
                 1971.53                      -1.6365643
                 1971.76                      -1.6448008
                 1971.99                      -1.6530785
                 1972.22                      -1.6613991
               1972.4501                      -1.6697622
               1972.6799                      -1.6781677
               1972.9099                      -1.6866175
                 1973.14                      -1.6951108
                 1973.37                      -1.7036481
                  1973.6                      -1.7122303
                 1973.83                      -1.7208576
               1974.0601                      -1.7295312
                 1974.29                      -1.7382492
                 1974.52                      -1.7470157
                 1974.75                      -1.7558278
                 1974.98                      -1.7646877
                 1975.21                      -1.7735952
               1975.4399                      -1.7825515
                 1975.67                      -1.7915576
                  1975.9                      -1.8006126
                 1976.13                      -1.8097169
                 1976.36                      -1.8188726
                 1976.59                      -1.8280787
               1976.8199                      -1.8373378
               1977.0499                      -1.8466479
                 1977.28                       -1.856012
                 1977.51                      -1.8654287
                 1977.74                      -1.8749008
               1977.9701                       -1.884427
               1978.2001                      -1.8940092
               1978.4299                      -1.9036463
               1978.6599                      -1.9133415
                 1978.89                      -1.9230929
                 1979.12                      -1.9329036
                 1979.35                      -1.9427719
               1979.5801                      -1.9527004
               1979.8101                      -1.9626897
               1980.0399                        -1.97274
               1980.2699                      -1.9828511
                  1980.5                      -1.9930252
                 1980.73                      -2.0032622
                 1980.96                      -2.0135639
               1981.1901                        -2.02393
                 1981.42                      -2.0343624
                 1981.65                      -2.0448609
                 1981.88                      -2.0554263
                 1982.11                      -2.0660602
                 1982.34                      -2.0767625
               1982.5699                      -2.0875351
                  1982.8                      -2.0983789
                 1983.03                      -2.1092935
                 1983.26                      -2.1202809
                 1983.49                      -2.1313418
                 1983.72                      -2.1424765
                 1983.95                      -2.1536876
               1984.1799                      -2.1649745
                 1984.41                      -2.1763376
                 1984.64                      -2.1877798
                 1984.87                         -2.1993
                  1985.1                      -2.2109012
               1985.3301                      -2.2225833
               1985.5601                      -2.2343475
               1985.7899                      -2.2461949
                 1986.02                       -2.258126
                 1986.25                      -2.2701426
                 1986.48                      -2.2822457
                 1986.71                      -2.2944354
               1986.9401                       -2.306714
                 1987.17                      -2.3190819
               1987.3999                      -2.3315405
                 1987.63                      -2.3440904
                 1987.86                      -2.3567339
                 1988.09                      -2.3694705
               1988.3199                      -2.3823033
                 1988.55                      -2.3952314
                 1988.78                      -2.4082576
                 1989.01                      -2.4213818
               1989.2401                      -2.4346065
                 1989.47                      -2.4479317
                  1989.7                      -2.4613592
               1989.9299                      -2.4748905
                 1990.16                      -2.4885268
                 1990.39                      -2.5022687
                 1990.62                      -2.5161177
               1990.8501                      -2.5300751
                 1991.08                      -2.5441431
               1991.3099                      -2.5583216
               1991.5399                      -2.5726125
                 1991.77                       -2.587018
                    1992                      -2.6015382
                 1992.23                      -2.6161741
               1992.4601                      -2.6309284
               1992.6901                      -2.6458024
                 1992.92                      -2.6607965
               1993.1499                      -2.6759127
                 1993.38                      -2.6911524
                 1993.61                       -2.706517
                 1993.84                      -2.7220081
               1994.0701                       -2.737626
                  1994.3                      -2.7533741
                 1994.53                       -2.769253
               1994.7599                      -2.7852635
                 1994.99                      -2.8014078
                 1995.22                      -2.8176863
                 1995.45                      -2.8341033
               1995.6801                      -2.8506582
                 1995.91                      -2.8673521
                 1996.14                      -2.8841876
                 1996.37                      -2.9011667
               1996.6001                      -2.9182896
                 1996.83                      -2.9355589
               1997.0599                      -2.9529759
                 1997.29                      -2.9705431
                 1997.52                        -2.98826
                 1997.75                      -3.0061311
                 1997.98                      -3.0241555
               1998.2101                      -3.0423374
               1998.4399                      -3.0606762
               1998.6699                      -3.0791738
               1998.8999                      -3.0978337
                 1999.13                      -3.1166565
                 1999.36                      -3.1356441
                 1999.59                      -3.1547981
               1999.8201                      -3.1741215
                 2000.05                      -3.1936145
                 2000.28                      -3.2132795
               2000.5099                      -3.2331183
                 2000.74                      -3.2531323
                 2000.97                      -3.2733252
                  2001.2                       -3.293696
               2001.4301                      -3.3142499
                 2001.66                      -3.3349856
                 2001.89                      -3.3559077
               2002.1199                      -3.3770173
                 2002.35                      -3.3983161
                 2002.58                      -3.4198049
               2002.8099                      -3.4414878
                 2003.04                      -3.4633659
                 2003.27                      -3.4854415
                  2003.5                       -3.507717
               2003.7301                      -3.5301936
               2003.9601                      -3.5528744
               2004.1899                      -3.5757596
               2004.4199                      -3.5988544
                 2004.65                      -3.6221583
                 2004.88                      -3.6456747
                 2005.11                       -3.669406
               2005.3401                      -3.6933548
               2005.5701                      -3.7175207
               2005.7999                      -3.7419097
               2006.0299                      -3.7665217
                 2006.26                      -3.7913589
                 2006.49                      -3.8164258
                 2006.72                       -3.841722
                 2006.95                      -3.8672526
               2007.1801                      -3.8930181
                 2007.41                      -3.9190212
                 2007.64                      -3.9452646
                 2007.87                      -3.9717522
                  2008.1                      -3.9984843
                 2008.33                      -4.0254641
               2008.5599                      -4.0526951
                 2008.79                      -4.0801795
                 2009.02                      -4.1079195
                 2009.25                      -4.1359179
                 2009.48                      -4.1641784
                 2009.71                      -4.1927019
               2009.9399                      -4.2214917
               2010.1699                      -4.2505514
                  2010.4                      -4.2798844
                 2010.63                      -4.3094912
                 2010.86                      -4.3393769
               2011.0901                      -4.3695423
               2011.3201                      -4.3999929
               2011.5499                      -4.4307297
               2011.7799                      -4.4617564
                 2012.01                      -4.4930774
                 2012.24                      -4.5246931
                 2012.47                      -4.5566081
               2012.7001                      -4.5888255
               2012.9301                      -4.6213486
               2013.1599                       -4.654181
               2013.3899                      -4.6873248
                 2013.62                      -4.7207846
                 2013.85                      -4.7545628
                 2014.08                      -4.7886645
               2014.3101                      -4.8230908
                 2014.54                      -4.8578463
                 2014.77                      -4.8929349
                    2015                      -4.9283587
                 2015.23                      -4.9641247
                 2015.46                      -5.0002334
               2015.6899                      -5.0366894
                 2015.92                      -5.0734966
                 2016.15                        -5.11066
                 2016.38                      -5.1481822
                 2016.61                      -5.1860671
                 2016.84                      -5.2243185
               2017.0699                      -5.2629419
               2017.2999                      -5.3019398
                 2017.53                      -5.3413174
                 2017.76                      -5.3810797
                 2017.99                       -5.421229
                 2018.22                      -5.4617702
               2018.4501                      -5.5027094
               2018.6801                      -5.5440502
               2018.9099                       -5.585796
                 2019.14                      -5.6279531
                 2019.37                      -5.6705247
                  2019.6                      -5.7135181
                 2019.83                      -5.7569352
               2020.0601                      -5.8007824
                 2020.29                      -5.8450644
               2020.5199                      -5.8897865
                 2020.75                      -5.9349548
                 2020.98                       -5.980573
                 2021.21                      -6.0266467
               2021.4399                      -6.0731825
                 2021.67                      -6.1201846
                  2021.9                      -6.1676599
                 2022.13                      -6.2156123
               2022.3601                      -6.2640492
                 2022.59                      -6.3129766
               2022.8199                       -6.362399
               2023.0499                      -6.4123232
                 2023.28                      -6.4627563
                 2023.51                      -6.5137039
                 2023.74                      -6.5651719
               2023.9701                      -6.6171675
                  2024.2                      -6.6696977
               2024.4299                      -6.7227685
               2024.6599                      -6.7763872
                 2024.89                      -6.8305606
                 2025.12                      -6.8852962
                 2025.35                      -6.9406005
               2025.5801                      -6.9964817
               2025.8101                      -7.0529465
                 2026.04                      -7.1100035
               2026.2699                      -7.1676598
                  2026.5                      -7.2259234
                 2026.73                       -7.284803
                 2026.96                      -7.3443063
               2027.1901                      -7.4044425
                 2027.42                      -7.4652179
                 2027.65                      -7.5266438
               2027.8799                      -7.5887276
                 2028.11                      -7.6514788
                 2028.34                      -7.7149062
               2028.5699                      -7.7790199
                  2028.8                      -7.8438296
                 2029.03                      -7.9093435
                 2029.26                      -7.9755733
                 2029.49                      -8.0425272
               2029.7201                       -8.110217
                 2029.95                      -8.1786526
               2030.1799                      -8.2478451
                 2030.41                      -8.3178043
                 2030.64                      -8.3885429
                 2030.87                      -8.4600714
                  2031.1                      -8.5324012
               2031.3301                      -8.6055437
               2031.5599                      -8.6795109
               2031.7899                      -8.7543156
                 2032.02                      -8.8299702
                 2032.25                      -8.9064867
                 2032.48                      -8.9838775
                 2032.71                      -9.0621571
               2032.9401                      -9.1413372
                 2033.17                      -9.2214329
                  2033.4                       -9.302457
                 2033.63                      -9.3844224
                 2033.86                      -9.4673448
                 2034.09                      -9.5512398
               2034.3199                       -9.636119
                 2034.55                      -9.7220004
                 2034.78                      -9.8088968
                 2035.01                      -9.8968252
                 2035.24                      -9.9857998
                 2035.47                      -10.075836
                  2035.7                      -10.166952
               2035.9299                      -10.259163
                 2036.16                      -10.352483
                 2036.39                      -10.446932
                 2036.62                      -10.542525
               2036.8501                      -10.639279
               2037.0801                      -10.737209
               2037.3099                      -10.836336
               2037.5399                      -10.936673
                 2037.77                      -11.038239
