        Frequency / MHz                S1,2 (17)/abs,dB
----------------------------------------------------------------------
                    1900                      -37.833354
                 1900.23                      -37.786397
               1900.4601                      -37.740574
               1900.6901                       -37.69586
                 1900.92                      -37.652235
               1901.1499                      -37.609678
                 1901.38                      -37.568167
                 1901.61                      -37.527683
                 1901.84                      -37.488206
               1902.0701                      -37.449718
                  1902.3                      -37.412199
                 1902.53                      -37.375633
               1902.7599                          -37.34
                 1902.99                      -37.305286
                 1903.22                      -37.271471
                 1903.45                      -37.238541
               1903.6801                       -37.20648
                 1903.91                       -37.17527
                 1904.14                        -37.1449
                 1904.37                      -37.115351
               1904.6001                      -37.086612
                 1904.83                      -37.058666
               1905.0599                        -37.0315
                 1905.29                      -37.005101
                 1905.52                      -36.979455
                 1905.75                      -36.954549
                 1905.98                       -36.93037
               1906.2101                      -36.906905
               1906.4399                      -36.884142
               1906.6699                      -36.862068
               1906.8999                      -36.840674
                 1907.13                      -36.819944
                 1907.36                      -36.799869
                 1907.59                      -36.780437
               1907.8201                      -36.761636
                 1908.05                      -36.743456
                 1908.28                      -36.725885
               1908.5099                      -36.708914
                 1908.74                       -36.69253
                 1908.97                      -36.676723
                  1909.2                      -36.661484
               1909.4301                      -36.646801
                 1909.66                      -36.632666
                 1909.89                      -36.619066
               1910.1199                      -36.605994
                 1910.35                      -36.593437
                 1910.58                      -36.581389
               1910.8099                      -36.569837
                 1911.04                      -36.558772
                 1911.27                      -36.548186
                  1911.5                      -36.538068
               1911.7301                       -36.52841
               1911.9601                      -36.519201
               1912.1899                      -36.510433
               1912.4199                      -36.502096
                 1912.65                      -36.494182
                 1912.88                       -36.48668
                 1913.11                      -36.479582
               1913.3401                      -36.472879
               1913.5701                      -36.466562
               1913.7999                      -36.460622
               1914.0299                      -36.455049
                 1914.26                      -36.449836
                 1914.49                      -36.444972
                 1914.72                      -36.440449
                 1914.95                      -36.436258
               1915.1801                       -36.43239
                 1915.41                      -36.428837
                 1915.64                      -36.425589
                 1915.87                      -36.422638
                  1916.1                      -36.419974
                 1916.33                       -36.41759
               1916.5599                      -36.415474
                 1916.79                       -36.41362
                 1917.02                      -36.412018
                 1917.25                       -36.41066
                 1917.48                      -36.409536
                 1917.71                      -36.408637
               1917.9399                      -36.407955
               1918.1699                       -36.40748
                  1918.4                      -36.407204
                 1918.63                      -36.407118
                 1918.86                      -36.407212
               1919.0901                      -36.407478
               1919.3201                      -36.407907
               1919.5499                      -36.408489
               1919.7799                      -36.409216
                 1920.01                      -36.410078
                 1920.24                      -36.411066
                 1920.47                      -36.412173
               1920.7001                      -36.413387
               1920.9301                        -36.4147
               1921.1599                      -36.416104
               1921.3899                      -36.417588
                 1921.62                      -36.419144
                 1921.85                      -36.420762
                 1922.08                      -36.422433
               1922.3101                      -36.424148
                 1922.54                      -36.425898
                 1922.77                      -36.427674
                    1923                      -36.429467
                 1923.23                      -36.431267
                 1923.46                      -36.433064
               1923.6899                      -36.434851
                 1923.92                      -36.436616
                 1924.15                      -36.438353
                 1924.38                       -36.44005
                 1924.61                        -36.4417
                 1924.84                      -36.443292
               1925.0699                      -36.444819
               1925.2999                       -36.44627
                 1925.53                      -36.447637
                 1925.76                      -36.448911
                 1925.99                      -36.450082
                 1926.22                      -36.451142
               1926.4501                      -36.452082
               1926.6801                      -36.452893
               1926.9099                      -36.453567
                 1927.14                      -36.454094
                 1927.37                      -36.454466
                  1927.6                      -36.454675
                 1927.83                      -36.454711
               1928.0601                      -36.454566
                 1928.29                      -36.454233
               1928.5199                      -36.453703
                 1928.75                      -36.452968
                 1928.98                      -36.452019
                 1929.21                      -36.450849
               1929.4399                      -36.449451
                 1929.67                      -36.447816
                  1929.9                      -36.445936
                 1930.13                      -36.443805
               1930.3601                      -36.441416
                 1930.59                      -36.438759
               1930.8199                       -36.43583
               1931.0499                      -36.432621
                 1931.28                      -36.429127
                 1931.51                      -36.425339
                 1931.74                       -36.42125
               1931.9701                      -36.416857
                  1932.2                      -36.412152
               1932.4299                       -36.40713
               1932.6599                      -36.401784
                 1932.89                      -36.396111
                 1933.12                      -36.390104
                 1933.35                      -36.383759
               1933.5801                       -36.37707
               1933.8101                      -36.370033
                 1934.04                      -36.362643
               1934.2699                      -36.354896
                  1934.5                       -36.34679
                 1934.73                      -36.338318
                 1934.96                       -36.32948
               1935.1901                       -36.32027
                 1935.42                      -36.310686
                 1935.65                      -36.300726
               1935.8799                      -36.290386
                 1936.11                      -36.279664
                 1936.34                      -36.268559
               1936.5699                      -36.257067
                  1936.8                      -36.245189
                 1937.03                      -36.232922
                 1937.26                      -36.220265
                 1937.49                      -36.207217
               1937.7201                      -36.193777
                 1937.95                      -36.179947
               1938.1799                      -36.165724
                 1938.41                      -36.151109
                 1938.64                      -36.136103
                 1938.87                      -36.120706
                  1939.1                      -36.104918
               1939.3301                      -36.088741
               1939.5599                      -36.072176
               1939.7899                      -36.055225
                 1940.02                      -36.037887
                 1940.25                      -36.020166
                 1940.48                      -36.002064
                 1940.71                      -35.983583
               1940.9401                      -35.964726
                 1941.17                      -35.945494
                  1941.4                      -35.925892
                 1941.63                       -35.90592
                 1941.86                      -35.885586
                 1942.09                      -35.864888
               1942.3199                      -35.843833
                 1942.55                      -35.822424
                 1942.78                      -35.800665
                 1943.01                       -35.77856
                 1943.24                      -35.756111
                 1943.47                      -35.733325
                  1943.7                      -35.710206
               1943.9299                      -35.686758
                 1944.16                      -35.662986
                 1944.39                      -35.638895
                 1944.62                      -35.614488
               1944.8501                      -35.589773
               1945.0801                      -35.564753
               1945.3099                      -35.539436
               1945.5399                      -35.513823
                 1945.77                      -35.487923
                    1946                       -35.46174
