        Frequency / MHz                S1,1 (2)/abs,dB
----------------------------------------------------------------------
                    1900                      -3.0407819
                 1900.23                      -3.0523952
               1900.4601                        -3.06427
               1900.6901                      -3.0764096
                 1900.92                      -3.0888171
               1901.1499                      -3.1014982
                 1901.38                      -3.1144568
                 1901.61                       -3.127696
                 1901.84                      -3.1412195
               1902.0701                      -3.1550322
                  1902.3                      -3.1691371
                 1902.53                      -3.1835372
               1902.7599                      -3.1982383
                 1902.99                      -3.2132428
                 1903.22                      -3.2285538
                 1903.45                      -3.2441749
               1903.6801                      -3.2601106
                 1903.91                      -3.2763639
                 1904.14                      -3.2929375
                 1904.37                      -3.3098363
               1904.6001                      -3.3270624
                 1904.83                      -3.3446194
               1905.0599                       -3.362511
                 1905.29                      -3.3807411
                 1905.52                      -3.3993116
                 1905.75                      -3.4182265
                 1905.98                      -3.4374891
               1906.2101                      -3.4571031
               1906.4399                      -3.4770705
               1906.6699                      -3.4973948
               1906.8999                      -3.5180806
                 1907.13                      -3.5391285
                 1907.36                      -3.5605441
                 1907.59                      -3.5823286
               1907.8201                      -3.6044872
                 1908.05                      -3.6270207
                 1908.28                      -3.6499348
               1908.5099                      -3.6732305
                 1908.74                      -3.6969106
                 1908.97                      -3.7209805
                  1909.2                      -3.7454427
               1909.4301                      -3.7702984
                 1909.66                      -3.7955517
                 1909.89                      -3.8212074
               1910.1199                      -3.8472662
                 1910.35                      -3.8737334
                 1910.58                      -3.9006097
               1910.8099                      -3.9279005
                 1911.04                      -3.9556077
                 1911.27                      -3.9837351
                  1911.5                       -4.012286
               1911.7301                      -4.0412629
               1911.9601                      -4.0706691
               1912.1899                      -4.1005087
               1912.4199                      -4.1307844
                 1912.65                      -4.1615007
                 1912.88                      -4.1926593
                 1913.11                      -4.2242636
               1913.3401                      -4.2563177
               1913.5701                      -4.2888259
               1913.7999                      -4.3217899
               1914.0299                      -4.3552137
                 1914.26                      -4.3891012
                 1914.49                       -4.423456
                 1914.72                      -4.4582825
                 1914.95                      -4.4935828
               1915.1801                      -4.5293612
                 1915.41                      -4.5656208
                 1915.64                      -4.6023665
                 1915.87                      -4.6396022
                  1916.1                      -4.6773311
                 1916.33                      -4.7155562
               1916.5599                      -4.7542841
                 1916.79                      -4.7935166
                 1917.02                      -4.8332586
